[8.00869533 3.11451823]
[2.56358853 3.40872084]
[10.61361621  3.44399129]
[18.82111884  3.67980476]
[26.32334864  3.61796738]
[32.80895606  3.46379302]
[38.34594907  3.15201602]
[43.18385092  2.8194755 ]
[47.69516112  2.58042757]
[51.94583844  2.35677821]
[56.12289237  2.14118116]
[59.97293146  1.96861891]
[63.4959647   1.81789399]
[66.70592668  1.67930738]
[69.88090984  1.60146006]
[72.83787233  1.53508452]
[75.54359425  1.46165639]
[77.92524831  1.40503771]
[80.15659967  1.30834422]
[82.23809227  1.25066299]
[83.93253977  1.16818051]
[85.23960266  1.09074687]
[86.51933273  1.07364308]
[87.63901113  1.05999132]
[88.68598007  0.99179398]
[89.62250117  0.96198208]
[90.44880011  0.8888938 ]
[91.21835699  0.81927801]
[91.91122193  0.72589738]
[92.61626002  0.69326627]
[93.22384852  0.67195895]
[93.72909555  0.66357102]
[93.94307463  0.62856703]
[94.32366813  0.6825067 ]
[94.77653022  0.62487302]
[95.18032564  0.56878357]
[93.28007189  0.65246857]
