[0.43799345 3.97319295]
[0.84206448 3.48137489]
[1.85819398 2.62839026]
[2.71891145 1.76097588]
[3.45204892 0.97619011]
[4.17473624 0.44661706]
[4.78521596 0.03904337]
[5.37328603 0.37770396]
[5.87526551 0.84211087]
[6.32948804 1.25196371]
[6.86695043 1.65232729]
[7.35019454 2.0122857 ]
[7.78583398 2.33676965]
[8.1793931  2.62989745]
[8.53555064 2.89515691]
[8.85831521 3.13553612]
[9.21942776 3.31228079]
[9.54728091 3.47339167]
[9.8451755  3.62033378]
[10.11602435  3.75441107]
[10.362412    3.87679051]
[10.58664206  3.98852012]
[10.79077456  4.09054432]
[10.97665867  4.18371668]
[11.14595821  4.26881034]
[11.30017435  4.34652711]
[11.44066396  4.4175049 ]
[11.56865553  4.48232513]
[11.6852631   4.54151744]
[11.79149823  4.59556487]
[11.88828023  4.64490905]
[11.97644565  4.68995308]
[12.05675547  4.73106581]
[12.12990344  4.76858459]
[12.19652128  4.80281766]
[12.25718531  4.8340476 ]
[12.31242142  4.86253294]
[12.36270857  4.88851012]
[12.40848427  4.91219562]
[12.45014746  4.93378738]
[12.4880624   4.95346731]
[12.52256133  4.97140112]
[12.55394741  4.98774069]
[12.58249738  5.00262483]
[12.60846394  5.01618113]
[12.63207727  5.02852559]
[12.65354745  5.03976442]
[12.6730663   5.04999489]
[12.69080852  5.05930577]
[12.70693373  5.06777849]
[12.72158712  5.07548716]
[12.7349011   5.08249934]
[12.74699633  5.08887699]
[12.75798303  5.09467657]
[12.76796168  5.0999498 ]
[12.7770233   5.10474356]
[12.78525135  5.10910071]
[12.79272137  5.11306064]
[12.79950234  5.11665881]
[12.80565706  5.11992813]
[12.81124283  5.12289806]
[12.81631166  5.12559563]
[12.82091085  5.12804546]
[12.82508343  5.13027023]
[12.82886859  5.13229025]
[12.83230203  5.13412413]
[12.83541597  5.13578862]
[12.83823993  5.1372995 ]
[12.8408004  5.1386706]
[12.84312228  5.13991484]
[12.84522722  5.14104385]
[12.84713551  5.14206806]
[12.84886496  5.14299695]
[12.85043276  5.14383972]
[12.85185354  5.14460408]
[12.85314107  5.1452972 ]
[12.85430783  5.14592576]
[12.85536506  5.14649571]
[12.85632256  5.14701248]
[12.85719024  5.14748097]
[12.85797611  5.14790559]
[12.85868796  5.14829042]
[12.85933262  5.14863905]
[12.85991646  5.14895516]
[12.86044515  5.14924144]
[12.86092389  5.14950098]
[12.86135764  5.14973602]
[12.86175029  5.14994912]
[12.8621055  5.1501422]
[12.86242749  5.1503171 ]
[12.86271872  5.15047537]
[12.86298255  5.15061885]
[12.86322106  5.1507487 ]
[12.86343678  5.15086631]
[12.86363235  5.1509728 ]
[12.86380915  5.15106927]
[12.8639692   5.15115647]
[12.8641141   5.15123549]
[12.86424529  5.15130714]
[12.86436394  5.15137185]
[12.86447129  5.15143054]
[12.86456848  5.15148356]
[12.86465641  5.1515316 ]
[12.86473598  5.15157512]
[12.86480787  5.15161434]
[12.86487297  5.15165005]
[12.86493167  5.15168222]
[12.86498493  5.15171146]
[12.86503323  5.15173795]
[12.86507684  5.15176193]
[12.86511645  5.1517838 ]
[12.86515196  5.15180328]
[12.86518409  5.15182102]
[12.86521302  5.15183692]
[12.86523922  5.15185118]
[12.86526292  5.1518641 ]
[12.86528411  5.15187577]
[12.86530345  5.1518864 ]
[12.86532105  5.15189607]
[12.86533701  5.15190496]
[12.86535129  5.15191276]
[12.86536442  5.15191983]
[12.86537611  5.15192638]
[12.86538699  5.15193216]
[12.86539651  5.15193735]
[12.8654052   5.15194221]
[12.86541295  5.15194647]
[12.86541998  5.15195033]
[12.86542649  5.1519539 ]
[12.86543209  5.15195693]
[12.86543701  5.15195974]
[12.86544165  5.15196234]
[12.86544607  5.1519648 ]
[12.86544999  5.151967  ]
[12.86545339  5.1519689 ]
[12.86545644  5.15197056]
[12.86545891  5.15197216]
[12.86546136  5.15197361]
[12.86546374  5.15197494]
[12.86546579  5.15197596]
