[104.9170424  101.08732073]
[179.46502781 278.62874841]
[341.72874758 331.22925386]
[794.68166533 393.83113169]
[1525.32807588  438.38101427]
[2178.06150327  486.07186049]
[2763.89312049  514.65951791]
[3373.78937379  532.76954252]
[3962.49178084  548.04380722]
[4485.82404053  559.66073012]
[4963.90668975  571.99363716]
[5395.84358683  582.700955  ]
[5805.28767741  601.55950202]
[6186.86084581  618.76152832]
[6534.32228152  628.82714754]
[6848.01601598  636.09192887]
[7133.5299589   644.55906039]
[7391.48076392  651.22808268]
[7625.1615454   657.74957606]
[7837.30276173  664.51602998]
[8030.67393287  672.3530499 ]
[8205.89099464  679.77889094]
[8366.15430177  688.43270244]
[8511.5147194   696.79505353]
[8644.30355801  705.66345887]
[8764.09500074  713.51598331]
[8874.55907635  717.43984513]
[8963.97013765  713.05507755]
[9103.27367361  709.98157261]
[9133.86407372  712.75262114]
[9430.00503406  699.81226347]
[9706.2018644   682.27706457]
[9962.1708236   656.75686286]
[10212.87611334   629.44427146]
[10448.23853723   602.64170642]
[10660.11862532   576.51568845]
[10851.47929912   551.82469542]
[11024.93549811   529.32032801]
[11182.05685084   508.80931447]
[11324.11975332   489.76634399]
[11452.52234091   472.08074676]
[11569.83655815   456.95748932]
[11676.07627967   443.15573033]
[11771.97545203   430.27814274]
[11858.48297107   418.25214163]
[11936.48172746   406.98044335]
[12006.76064374   396.37075421]
[12070.41567284   386.17816938]
[12128.13936293   376.3455457 ]
[12179.42948152   366.50013286]
[12224.93789412   356.74155932]
[12267.0917713    348.99791217]
[12305.34971202   342.30808763]
[12339.37218154   336.03593298]
[12369.54521185   330.14987352]
[12397.77621533   323.07102638]
[12423.34851712   315.81873887]
[12445.65129934   308.77058489]
[12465.05005898   301.98112831]
[12483.55424442   297.14518162]
[12500.30329732   293.16280975]
[12526.00376975   293.5675485 ]
[12567.61455945   293.02264136]
[12610.08120388   292.83765776]
[12650.31420651   292.56370015]
[12687.25536974   293.09289848]
[12720.51839234   293.54513924]
[12750.5038522    293.95080064]
[12776.38884301   295.89864846]
[12799.21679869   298.4810684 ]
[12819.48695681   300.67673557]
[12834.10811221   302.50989302]
[12846.93695317   304.02561421]
[12858.14635483   305.25546697]
[12867.89169932   306.22794436]
[12876.31258368   306.96864221]
[12883.53461913   307.50039604]
[12889.67086246   307.84333101]
[12894.82335501   308.01523353]
[12899.08403221   308.03161212]
[12902.53573244   307.90607014]
[12905.25337903   307.650426  ]
[12912.14148092   308.51189494]
[12917.99660987   309.17605482]
[12922.91333335   309.65925365]
[12926.97701031   309.97648706]
[12930.26492609   310.1415081 ]
[12932.84710214   310.16716541]
[12934.78721334   310.06557183]
[12936.14316283   309.8482308 ]
[12936.96815085   309.52620733]
[12937.31088358   309.11011425]
[12937.21641251   308.61017955]
[12936.72643724   308.03628969]
[12935.87987947   307.39798325]
[12934.71297043   306.70431172]
[12933.25919049   305.96386712]
[12931.55002199   305.18474676]
[12929.61440766   304.37443817]
[12927.47898788   303.53982248]
[12925.16821813   302.68716465]
[12922.7039386    301.82198384]
[12920.10583178   300.94909091]
[12917.39123019   300.07266435]
[12914.57508559   299.19608576]
[12911.67016359   298.32211904]
[12906.77046983   300.51223891]
[12888.60001055   311.67819167]
[12864.280862     324.55730404]
[12853.94046748   345.7619281 ]
[12839.41320107   377.23760358]
[12821.87660898   409.91131243]
[12804.68140707   440.41790285]
[12784.20672341   472.52508352]
[12771.48658746   495.31711337]
[12765.6534564    509.95037881]
[12769.78233129   521.81806572]
[12776.69681422   536.01049845]
[12783.04791068   549.23599025]
[12778.94213811   563.56301757]
[12776.05238529   575.26253102]
[12766.69554393   579.3980963 ]
[12756.91200319   582.11742871]
[12742.06573966   578.00749061]
[12741.18813185   576.88333834]
[12738.55413867   573.19540782]
[12735.43710287   568.63895446]
[12729.16497944   559.3540174 ]
[12722.25285265   548.95376533]
[12713.98406532   537.83568113]
[12704.30738804   525.88423673]
[12702.96246358   522.79210909]
[12688.17668976   506.72984633]
[12673.83589712   491.53169892]
[12641.09341602   475.17601081]
[12611.14191617   460.33783587]
[12583.71352961   446.87165244]
[12558.56615095   434.64590009]
[12535.48087761   423.54167207]
[12513.83814162   413.87313966]
[12494.02163414   405.16451329]
[12475.85478102   397.3232933 ]
[12459.08054764   390.18343077]
[12443.5655537    383.67803816]
[12429.18922742   377.74671639]
[12415.84272795   372.33490432]
[12403.42759208   367.3933312 ]
[12391.85494185   362.87757575]
[12381.04447848   358.74740392]
[12370.9237019    354.96658677]
[12361.42710404   351.5023146 ]
[12352.49540332   348.32499068]
[12344.07510229   345.4078165 ]
[12336.11807796   342.72653096]
[12328.58073732   340.2591964 ]
[12321.42362865   337.98596721]
[12314.61129248   335.8888171 ]
[12308.11165002   333.95149827]
[12301.89566819   332.15925878]
[12295.93720504   330.49872414]
[12290.21260363   328.95780096]
[12284.7005889    327.52555784]
[12279.38192258   326.19209135]
[12274.23923816   324.94847901]
[12269.25688022   323.78661625]
[12264.42068278   322.69923319]
[12259.71785878   321.67973223]
[12255.13684983   320.72218475]
[12250.6672743   319.8212561]
[12246.29972465   318.97210203]
[12242.02573931   318.17036846]
[12237.83757514   317.41214433]
[12233.72842487   316.69389863]
[12229.69207641   316.01243744]
[12225.7229009    315.36485533]
[12221.81587523   314.74856152]
[12217.52000899   314.60755863]
[12215.93997461   317.062408  ]
[12214.25790285   319.30617599]
[12216.45528131   319.00027474]
[12218.12414553   318.6972833 ]
[12219.31730101   318.3974687 ]
[12220.08245542   318.1010837 ]
[12220.46266391   317.80831217]
[12220.49680474   317.51932885]
[12220.21998005   317.23424646]
[12219.66390105   316.95316068]
[12218.85716805   316.67617881]
[12217.82560357   316.40331992]
[12216.59251552   316.134651  ]
[12215.17895827   315.87020874]
[12213.6038908    315.61001817]
[12211.88450204   315.35409138]
[12210.03623864   315.10245067]
[12208.07308005   314.85509265]
[12206.00764465   314.61204326]
[12203.85131389   314.37329654]
[12201.61439018   314.13886507]
[12199.30613382   313.90875131]
[12196.93495226   313.68293853]
[12194.50840718   313.46144718]
[12192.03333484   313.24426422]
[12189.51592568   313.03139219]
[12186.96173306   312.82280958]
[12184.3758216    312.61849555]
[12181.76273674   312.41845912]
[12179.12656132   312.22267684]
[12176.47102938   312.03110629]
[12173.79945317   311.84374026]
[12171.11485035   311.6605166 ]
[12168.41992502   311.48140606]
[12165.25485222   311.76863698]
[12162.1883553    312.06844149]
[12159.21124642   312.37899859]
[12154.58766041   314.46835357]
[12150.15030128   316.34153687]
[12145.88241323   318.01996139]
[12141.76886139   319.5229522 ]
[12137.79597773   320.86793043]
[12133.95143635   322.07060622]
[12130.22411044   323.14518174]
[12126.60393262   324.10445692]
[12123.08184422   324.95995393]
[12119.64964907   325.72210346]
[12116.29992785   326.40030195]
[12113.0260261   327.0030035]
[12109.82188465   327.53786321]
[12106.68208505   328.01178639]
[12103.60170623   328.43096266]
[12100.57630358   328.80103315]
[12097.6018649    329.12702399]
[12094.67477744   329.41350275]
[12091.7917675    329.66459622]
[12088.9498717    329.88400894]
[12086.14642928   330.0750716 ]
[12083.37901058   330.24078345]
[12080.64544405   330.38385808]
[12077.94375928   330.50675531]
[12075.27216138   330.6116789 ]
[12072.62901602   330.7005928 ]
[12070.01288681   330.77528951]
[12067.42244808   330.83737196]
[12064.85648967   330.88828728]
[12062.31392318   330.92932831]
[12059.79375257   330.96168621]
[12057.29508057   330.98639426]
[12054.81710426   331.00440777]
[12052.35906376   331.01655404]
[12049.44344944   331.50048244]
[12046.61345494   331.95199805]
[12043.86147433   332.37401088]
[12039.66865779   331.25849296]
[12035.6701579   330.2491196]
[12031.84819855   329.33564537]
[12028.18674324   328.50886446]
[12024.67131319   327.76044023]
[12021.28886576   327.08288665]
[12018.02758251   326.4694155 ]
[12014.8768317    325.91390456]
[12011.82700607   325.41084057]
[12008.86942497   324.95522556]
[12005.99626036   324.54255748]
[12003.20045267   324.16879888]
[12000.47561098   323.83026351]
[11997.81597029   323.52364619]
[11995.2163374    323.24594506]
[11992.6720097   322.9944661]
[11990.17875259   322.76680384]
[11987.73272388   322.5607404 ]
[11985.33046196   322.37428026]
[11982.96883027   322.20561743]
[11980.6449962    322.05314123]
[11978.35640917   321.91538224]
[11976.1007398    321.79102662]
[11973.87593092   321.6788791 ]
[11971.68005744   321.57784196]
[11969.51142235   321.48696011]
[11967.36848435   321.40533326]
[11965.24984265   321.33215486]
[11963.15420552   321.26671318]
[11961.08043215   321.20834835]
[11959.02747547   321.15647276]
[11956.99439863   321.11054577]
[11954.98033451   321.07008341]
[11952.98450092   321.03464569]
[11950.51797337   321.49205601]
[11948.12812752   321.91676336]
[11945.80824607   322.31181931]
[11957.36954833   316.02297831]
[11967.6212154    310.35325067]
[11976.69287372   305.2419526 ]
[11984.7013825    300.63433832]
[11991.75216691   296.481057  ]
[11997.94028394   292.7375674 ]
[12003.35145918   289.36371823]
[12008.06301388   286.32328615]
[12012.14465692   283.58360636]
[12015.65925831   281.11521499]
[12018.66351428   278.8915565 ]
[12021.20854293   276.8886482 ]
[12023.34045514   275.0848746 ]
[12025.10082487   273.4607536 ]
[12026.52712416   271.99868728]
[12027.65315857   270.68283756]
[12028.50939981   269.49888626]
[12029.12332888   268.43394305]
[12029.519726     267.47637564]
[12029.72092622   266.61568119]
[12029.74704513   265.84240337]
[12029.61625343   265.14800116]
[12029.34491298   264.52477402]
[12028.94778331   263.96578872]
[12028.43815947   263.4647722 ]
[12027.82803368   263.01607051]
[12027.12820967   262.61459927]
[12026.34842386   262.25576851]
[12025.49746505   261.93542211]
[12024.58323518   261.64982941]
[12023.61285913   261.39560704]
[12022.59276837   261.16971041]
[12021.0332741    261.46486472]
[12019.53256723   261.77986881]
[12018.08477629   262.11191087]
[12016.63777084   262.41476718]
[12015.19235871   262.69135629]
[12013.74925943   262.94428285]
[12012.30911744   263.17590795]
[12010.87250141   263.38835819]
[12009.43992461   263.58355656]
[12008.01184298   263.7632274 ]
[12006.58866251   263.92893067]
[12005.17074957   264.0820595 ]
[12003.75842303   264.22388884]
[12002.35197113   264.35554793]
[12000.95163792   264.47807237]
[11999.55765926   264.59237319]
[11998.1702215    264.69929392]
[11996.78950833   264.79958374]
[11995.41566228   264.89391018]
[11994.04881661   264.98287629]
[11992.68909118   265.0670355 ]
[11991.33657915   265.14688941]
[11989.99136604   265.22288155]
[11988.65351433   265.29539691]
[11987.32309967   265.3648004 ]
[11986.00016256   265.43141677]
[11984.68474641   265.49553451]
[11983.37688536   265.55741715]
[11982.07659948   265.61729751]
[11980.78390389   265.67538593]
[11979.4988112    265.73186891]
[11978.2213265    265.78691961]
[11976.95144216   265.84069417]
[11975.68916115   265.89332304]
[11974.43448517   265.94492403]
[11973.18739439   265.99562639]
[11971.94788394   266.04551391]
[11970.212806     266.59781216]
