[1.09033755 2.5028383 ]
[1.09033757 2.5028383 ]
[1.09033759 2.50283827]
[1.09033763 2.50283822]
[1.09033765 2.50283816]
[1.0903377  2.50283805]
[1.09033776 2.50283796]
[1.0903378  2.50283788]
[1.09033782 2.50283783]
[1.09033784 2.50283777]
[1.09033783 2.50283771]
[1.0903378  2.50283759]
[1.09033778 2.50283746]
[1.09033775 2.5028373 ]
[1.09033774 2.50283714]
[1.09033777 2.50283697]
[1.09033775 2.50283685]
[1.09033765 2.50283681]
[1.09033757 2.50283678]
[1.09033743 2.50283683]
[1.09033726 2.50283687]
[1.09033709 2.50283693]
[1.09038276 2.50286352]
[1.09042387 2.5028875 ]
[1.09046091 2.50290896]
[1.0904943 2.5029283]
[1.09052433 2.50294581]
[1.09055125 2.50296157]
[1.09057554 2.5029757 ]
[1.09059736 2.50298844]
[1.09061699 2.50299982]
[1.09063466 2.50301004]
[1.09065055 2.50301925]
[1.09062274 2.50300864]
[1.09059775 2.50299903]
[1.09057526 2.50299042]
[1.09055513 2.50298259]
[1.09053693 2.50297556]
[1.09052058 2.50296915]
[1.09050587 2.5029634 ]
[1.09049264 2.50295831]
[1.09048073 2.50295373]
[1.09046998 2.50294951]
[1.09046033 2.5029458 ]
[1.09045164 2.50294243]
[1.09044372 2.50293933]
[1.0904366  2.50293648]
[1.09043026 2.50293386]
[1.09042454 2.50293151]
[1.09041945 2.50292939]
[1.09041484 2.50292755]
[1.09041064 2.50292592]
[1.09040682 2.50292447]
[1.09040333 2.50292309]
[1.09040011 2.50292189]
[1.09039728 2.50292087]
[1.09044051 2.50294659]
[1.09047951 2.50296964]
[1.09051455 2.50299053]
[1.09054609 2.50300927]
[1.09057442 2.50302611]
[1.09059996 2.50304131]
[1.0906229  2.50305489]
[1.09064351 2.5030672 ]
[1.09066214 2.50307818]
[1.0906789  2.50308802]
[1.090694   2.50309687]
[1.09066553 2.50308595]
[1.09063982 2.50307612]
[1.09061665 2.50306727]
[1.09059585 2.5030593 ]
[1.09057714 2.50305208]
[1.09056033 2.50304554]
[1.09054519 2.50303965]
[1.09053157 2.50303448]
[1.09051928 2.50302964]
[1.09050824 2.50302528]
[1.09049827 2.50302144]
[1.09048928 2.5030179 ]
[1.09048116 2.50301474]
[1.09047381 2.50301178]
[1.09046733 2.50300913]
[1.09046145 2.50300675]
[1.09045623 2.50300459]
[1.09045147 2.50300262]
[1.09044713 2.50300094]
[1.09044317 2.50299942]
[1.09043961 2.50299807]
[1.09043632 2.50299686]
[1.09043338 2.50299582]
[1.09047657 2.50302153]
[1.0905155  2.50304455]
[1.09055048 2.50306542]
[1.09058197 2.50308411]
[1.0906103  2.50310094]
[1.09063582 2.50311609]
[1.09065874 2.50312965]
[1.0906793  2.50314189]
[1.09069792 2.50315285]
[1.09071469 2.50316276]
[1.0907298  2.50317161]
[1.09070124 2.50316066]
[1.09067556 2.50315084]
[1.09065237 2.50314203]
[1.09063157 2.50313411]
[1.09061285 2.50312691]
[1.09059604 2.5031205 ]
[1.09058094 2.50311468]
[1.09056733 2.50310957]
[1.09058249 2.50312381]
[1.09059611 2.50313656]
[1.09060828 2.50314811]
[1.09061931 2.50315841]
[1.09062916 2.50316777]
[1.09063806 2.50317621]
[1.09064615 2.50318372]
[1.0906534  2.50319057]
[1.09065994 2.50319661]
[1.09066585 2.50320211]
[1.09067117 2.503207  ]
[1.09063383 2.50319244]
[1.0906003  2.50317941]
[1.09057005 2.50316763]
[1.09054275 2.50315702]
[1.09051824 2.50314752]
[1.09049625 2.50313896]
[1.09047633 2.5031312 ]
[1.09045842 2.50312419]
[1.09044235 2.50311793]
[1.09042771 2.50311237]
[1.09041442 2.50310723]
[1.09040253 2.50310251]
[1.09039182 2.50309826]
[1.0903821  2.50309441]
[1.09041502 2.5031168 ]
[1.09044458 2.50313691]
[1.09047125 2.50315506]
[1.09049517 2.50317137]
[1.09051675 2.50318602]
[1.09053609 2.50319929]
[1.09055356 2.50321122]
[1.09056923 2.50322185]
[1.09058347 2.50323142]
[1.0905962  2.50324005]
[1.09060767 2.50324778]
[1.09057589 2.50323576]
[1.09054736 2.50322497]
[1.09052166 2.50321527]
[1.09049854 2.50320657]
[1.09047766 2.50319871]
[1.09045889 2.5031917 ]
[1.09044201 2.50318539]
[1.09042669 2.50317972]
[1.09041288 2.50317458]
[1.09040052 2.50317003]
[1.09038928 2.50316594]
[1.09037923 2.50316228]
[1.09037025 2.50315901]
[1.09036216 2.50315602]
[1.09035481 2.50315333]
[1.09034818 2.50315088]
[1.09034218 2.50314872]
[1.09033676 2.50314679]
[1.09033191 2.50314515]
[1.09032752 2.50314354]
[1.09032355 2.50314216]
[1.09032    2.50314087]
[1.09031682 2.50313973]
[1.09031393 2.50313861]
[1.09031137 2.50313765]
[1.09030896 2.50313687]
[1.09030685 2.50313623]
[1.09030493 2.50313562]
[1.09030323 2.50313511]
[1.09030167 2.50313464]
[1.09030029 2.50313421]
[1.09029903 2.5031338 ]
[1.09029792 2.5031334 ]
[1.09029695 2.50313307]
[1.09029605 2.50313279]
[1.09024047 2.50312563]
[1.09019041 2.50311917]
[1.09014533 2.50311334]
[1.09010474 2.50310814]
[1.0900682  2.50310342]
[1.09003531 2.50309919]
[1.09000572 2.50309541]
[1.0899791  2.50309204]
[1.08995509 2.50308902]
[1.08993351 2.50308629]
[1.08991407 2.50308384]
[1.0898966  2.50308161]
[1.08988085 2.50307968]
[1.08986667 2.50307787]
[1.08985388 2.50307625]
[1.08984236 2.50307486]
[1.08983194 2.5030736 ]
[1.08982257 2.50307251]
[1.08981417 2.50307148]
[1.08980657 2.50307059]
[1.08979973 2.50306975]
[1.08979356 2.50306907]
[1.08978801 2.50306845]
[1.08978303 2.50306788]
[1.08977855 2.50306732]
[1.08977444 2.50306689]
[1.08977078 2.50306647]
[1.08976745 2.50306607]
[1.08976448 2.50306578]
[1.08976183 2.50306551]
[1.0897594  2.50306523]
[1.08975723 2.50306498]
[1.08975533 2.50306474]
[1.0897536  2.50306456]
[1.08975206 2.5030644 ]
[1.08969579 2.50305736]
